type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,EnergyDemand,EnergyDemand: vom UI,,,b509,0d2700,value,,UCH,0=off;1=on,,register value
r,,,BoilerDemand,BurnerDemand: von der BMU,,,b509,0d4f00,value,,UCH,0=off;1=on,,register value
r,,,B1Press,P_B1: Pumpe Kondensatorkreis,,,b509,0d5c00,value,,UCH,0=off;1=on,,register value
r,,,PrimaryCircuitPump2Power,PrimaryCircuitPump2Power: aktuelle Leistung in %,,,b509,0d5f00,value,,UIN,,,register value
r,,,B2Press,P_B2: Pumpe Umweltkreis,,,b509,0d6000,value,,UCH,,,register value
r,,,SMPrimaryCircuitCycleOKState,SM_PrimaryCircuitCycle_OKState: Prozesszustand,,,b509,0d6200,value,,UCH,,,register value
r,,,Pos1,Pos1: Umschalterposition Direktheizbetrieb,,,b509,0d6500,value,,UCH,0=off;1=on,,register value
r,,,Pos2,Pos2: Umschalterposition Desorption mit Bypass,,,b509,0d6600,value,,UCH,0=off;1=on,,register value
r,,,PrimaryCircuitCycleState,PrimaryCircuitCycleState,,,b509,0d6800,value,,UCH,,,register value
r,,,Ventilatorfreigabe,Ventilatorfreigabe: Kollektorventilator,,,b509,0d6a00,value,,UCH,0=off;1=on,,register value
r,,,VolumenstromPumpP1,Volumenstrom_P_P1: in %,,,b509,0d6b00,value,,UIN,,,register value
r,,,VolumenstromPumpP2,Volumenstrom_P_P2: in %,,,b509,0d6c00,value,,UIN,,,register value
r,,,ManWeiter,man_weiter,,,b509,0d7000,value,,UCH,0=off;1=on,,register value
w,,service,ManWeiter,man_weiter,,,b509,0e7000,value,,UCH,0=off;1=on,,register value
r,,,WAnfo,W_Anfo,,,b509,0d7200,value,,UCH,0=off;1=on,,register value
r,,,Quelle,Quelle: 1=DHB 2=Kollektorbetrieb 3=Wärmetauscherbetrieb,,,b509,0d7300,value,,UCH,,,register value
r,,,PrimaryCircuitPumpsControlState,PrimaryCircuitPumpsControlState,,,b509,0d7400,value,,UCH,,,register value
r,,,PlValve,V_Pl: Primärkreisumschalter Linkslauf,,,b509,0d7700,value,,UCH,0=off;1=on,,register value
r,,,PrValve,V_Pr: Primärkreisumschalter Rechtslauf,,,b509,0d7800,value,,UCH,0=off;1=on,,register value
r,,,Testbetrieb,testbetrieb,,,b509,0d7a00,value,,UCH,0=off;1=on,,register value
r,,,HwcAnfo,BW_Anfo,,,b509,0d7b00,value,,UCH,0=off;1=on,,register value
r,,,BrAnfo,Br_Anfo: Ansteuerung Gasventil,,,b509,0d8200,value,,UCH,0=off;1=on,,register value
r,,,DesiredPositionReached,DesiredPositionReached,,,b509,0d8300,value,,UCH,0=off;1=on,,register value
r,,,GFAStoerung,GFA_Stoerung,,,b509,0d8500,value,,UCH,0=off;1=on,,register value
r,,,TadsAus,Tads_aus: °C,,,b509,0d8600,value,,D2C,,°C,register value
r,,,MSWMax,MSW_max: in %,,,b509,0d8800,value,,UCH,,,register value
r,,,TdesEin,Tdes_ein: °C,,,b509,0d8900,value,,D2C,,°C,register value
r,,,ActualEnvironmentalPower,ActualEnvironmentalPower: in kW (Näherungswert),,,b509,0d8a00,value,,UCH,,kW,register value
